N_1_Secure,SOLVED,Bus_1_VM,Bus_2_VM,Bus_3_VM,Bus_4_VM,Bus_5_VM,Bus_6_VM,Bus_7_VM,Bus_8_VM,Bus_9_VM,Bus_10_VM,Bus_11_VM,Bus_12_VM,Bus_13_VM,Bus_14_VM,Bus_15_VM,Bus_16_VM,Bus_17_VM,Bus_18_VM,Bus_19_VM,Bus_20_VM,Bus_21_VM,Bus_22_VM,Bus_23_VM,Bus_24_VM,Bus_25_VM,Bus_26_VM,Bus_27_VM,Bus_28_VM,Bus_29_VM,Bus_30_VM,Bus_31_VM,Bus_32_VM,Bus_33_VM,Bus_34_VM,Bus_35_VM,Bus_36_VM,Bus_37_VM,Bus_38_VM,Bus_39_VM,Bus_40_VM,Bus_41_VM,Bus_42_VM,Bus_43_VM,Bus_44_VM,Bus_45_VM,Bus_46_VM,Bus_47_VM,Bus_48_VM,Bus_49_VM,Bus_50_VM,Bus_51_VM,Bus_52_VM,Bus_53_VM,Bus_54_VM,Bus_55_VM,Bus_56_VM,Bus_57_VM,Bus_58_VM,Bus_59_VM,Bus_60_VM,Bus_61_VM,Bus_62_VM,Bus_63_VM,Bus_64_VM,Bus_65_VM,Bus_66_VM,Bus_67_VM,Bus_68_VM,Load_3_PD,Load_17_PD,Load_18_PD,Load_20_PD,Load_21_PD,Load_23_PD,Load_24_PD,Load_25_PD,Load_26_PD,Load_27_PD,Load_28_PD,Load_29_PD,Load_33_PD,Load_36_PD,Load_39_PD,Load_40_PD,Load_41_PD,Load_42_PD,Load_44_PD,Load_45_PD,Load_46_PD,Load_47_PD,Load_48_PD,Load_49_PD,Load_50_PD,Load_51_PD,Load_52_PD,Load_53_PD,Load_55_PD,Load_56_PD,Load_59_PD,Load_60_PD,Load_61_PD,Load_64_PD,Load_67_PD,Load_68_PD,Load_3_QD,Load_17_QD,Load_18_QD,Load_20_QD,Load_21_QD,Load_23_QD,Load_24_QD,Load_25_QD,Load_26_QD,Load_27_QD,Load_28_QD,Load_29_QD,Load_33_QD,Load_36_QD,Load_39_QD,Load_40_QD,Load_41_QD,Load_42_QD,Load_44_QD,Load_45_QD,Load_46_QD,Load_47_QD,Load_48_QD,Load_49_QD,Load_50_QD,Load_51_QD,Load_52_QD,Load_53_QD,Load_55_QD,Load_56_QD,Load_59_QD,Load_60_QD,Load_61_QD,Load_64_QD,Load_67_QD,Load_68_QD
1,1,1.045000076,0.980000019,0.98300004,0.996999919,1.011000037,1.049999952,1.063000083,1.030000091,1.025000095,1.01000011,0.99999994,1.015599966,1.011000156,1,1,1,0.943782628,0.990866899,0.92874217,0.978458941,0.953070581,0.989441812,0.991092861,0.944975555,0.994459689,0.982019961,0.961271763,0.987187207,0.990299821,0.967083693,0.975049973,0.962433517,0.961405277,0.959939361,1.009589314,0.951893747,0.947775602,0.976269901,0.948861301,1.023492694,0.998986185,0.998741269,0.947453797,0.94754833,0.98488903,0.969376028,1.003828049,1.016111851,0.965388536,0.974098504,0.980259061,0.947783053,0.976979375,0.983082294,0.952211916,0.916218758,0.90659821,0.90570581,0.899983287,0.902273357,0.946866572,0.90890789,0.906354129,0.832802534,0.90888238,0.91417098,0.919156492,0.938855648,0,6136.970215,2526.511719,694.1884766,279.2998047,249.4236755,322.2095337,231.9901428,143.4134216,293.0706482,208.6791687,296.5770874,116.0160522,103.7141571,274.180603,68.64968109,1020.216248,1195.301147,272.8343201,212.1528168,154.3262177,205.8579254,242.6511841,168.9367523,102.0600815,344.1369324,165.1890106,255.6057739,332.6513672,202.6979675,237.9012299,210.2657318,108.572403,9.144506454,333.8845215,335.7051392,0,306.8485107,125.8141479,105.1491394,117.2243729,85.48795319,0,48.67650223,17.53977013,79.26465607,28.36415863,28.19571114,0,0,12.93885994,24.61263275,255.0540619,259.8480835,4.935594082,21.41927528,29.18578148,33.02929306,2.213236094,29.87296295,0,0,31.36500359,119.9233093,2.066158056,74.59284973,85.40044403,71.2970047,130.4956665,89.41295624,159.6385345,32.65217209
1,1,1.045000076,0.980000019,0.98300004,0.996999919,1.011000156,1.049999952,1.063000083,1.030000091,1.025000095,1.01000011,0.99999994,1.015599966,1.011000037,1,0.99999994,1,0.94344914,0.990582466,0.928761661,0.978396893,0.95314467,0.989483714,0.991143644,0.945109546,0.994936228,0.982471406,0.961848259,0.987419128,0.990499437,0.966235757,0.974300563,0.96204412,0.9608832,0.959408224,1.00895071,0.951440394,0.948040009,0.975548565,0.948469341,1.021572709,0.998924732,0.998839319,0.946972549,0.947062314,0.984074712,0.968610346,1.002112508,1.014246821,0.964673221,0.973207235,0.97932291,0.947996557,0.975830734,0.982714534,0.952080548,0.915897489,0.906122744,0.905248106,0.899401605,0.901603699,0.946238756,0.908584416,0.905956686,0.832088232,0.908564568,0.913935959,0.919188142,0.938983321,0,6158.344727,2567.58667,697.8284912,279.5858459,249.5229797,317.2511902,224.0241241,142.3953094,284.3126221,208.4487915,290.7394104,115.9131622,103.3977661,267.1916504,67.46372223,1024.208496,1172.023438,277.887207,214.7963715,155.217804,211.8492432,242.2002106,168.243927,100.3978271,343.3625793,158.199585,262.6732788,334.2120056,203.8691101,236.1485901,213.9291992,105.776123,9.283646584,333.517395,337.5839844,0,307.9172363,127.859581,105.7004929,117.344429,85.52198792,0,47.0050621,17.41525269,76.89594269,28.33284378,27.64072037,0,0,12.60904503,24.18743515,256.052124,254.7877045,5.027000904,21.68617249,29.35439301,33.99058151,2.209122896,29.75045204,0,0,30.03789711,123.2391815,2.075850964,75.02383423,84.77130127,72.53921509,127.1347504,90.77342987,159.4630127,32.83491516
1,1,1.045000076,0.979999959,0.98299998,0.996999919,1.011000156,1.049999952,1.063000202,1.030000091,1.025000095,1.00999999,0.99999994,1.015599966,1.011000156,0.99999994,0.99999994,1,0.945398152,0.993472934,0.928873837,0.978702366,0.953101456,0.989417851,0.990995646,0.945218742,0.995214999,0.982539177,0.961972117,0.987390518,0.990521252,0.969325066,0.977353692,0.964030445,0.96396172,0.963569641,1.0155617,0.953981936,0.948160589,0.97985971,0.957357168,1.028836489,0.999195695,0.998763621,0.953395545,0.953652859,0.995920718,0.976149142,1.007334948,1.020464659,0.974833965,0.988947928,0.994231045,0.948142409,0.979256988,0.983322978,0.952535033,0.916406333,0.906959057,0.906051934,0.900547624,0.90286082,0.948976815,0.909106553,0.906586766,0.832809389,0.909089327,0.914424419,0.919591844,0.939095199,0,6058.699219,2545.027832,685.8455811,282.6273804,255.8448486,315.2539673,225.6626434,145.1762543,285.9709167,210.0406342,287.36026,115.7888031,105.2493362,271.5885925,66.64985657,1002.083008,1186.326782,270.2840576,215.2086792,152.7274017,210.4511566,247.296814,167.7102661,101.2657166,343.1223145,165.1089172,254.4154205,325.7868652,208.2316437,234.0739288,210.7381134,109.065712,9.222738266,329.4866333,341.4969788,0,302.934967,126.7361984,103.8854218,118.6209793,87.68875885,0,47.34885406,17.75536919,77.34444427,28.5492115,27.31946373,0,0,12.81654263,23.89564705,250.520752,257.8971252,4.889460087,21.72779846,28.88341904,33.76625824,2.255609035,29.65608597,0,0,31.3497982,119.3648224,2.023520947,76.62923431,84.02655029,71.45717621,131.0885925,90.17788696,157.5357971,33.21551132
1,1,1.045000076,0.979999959,0.98299998,0.996999919,1.011000156,1.049999952,1.063000202,1.030000091,1.025000095,1.01000011,0.99999994,1.015599966,1.011000156,0.99999994,0.99999994,1,0.943287015,0.989737153,0.92879957,0.978309989,0.953306139,0.98947084,0.990953445,0.945298851,0.99443543,0.981999099,0.961401701,0.986893952,0.990258396,0.966385663,0.974268973,0.961937964,0.960613668,0.958805144,1.007692218,0.951268196,0.948080719,0.975089014,0.946453452,1.022898316,0.998936534,0.998694956,0.945655525,0.945701897,0.981353462,0.967173755,1.002906799,1.015271187,0.962357581,0.96904552,0.975636959,0.948090196,0.976113796,0.982999265,0.952376783,0.916269958,0.906433165,0.905520201,0.899696529,0.902004898,0.946397483,0.908750594,0.906144381,0.831923723,0.908744156,0.914240181,0.919682324,0.939203262,0,6162.848633,2576.135254,703.2145386,279.7080383,259.7360229,320.6554871,232.0056,143.2317963,291.9056396,216.0617828,285.3537292,115.1369934,104.572525,268.4424133,67.29235077,1035.033081,1206.860229,277.3023987,209.1145325,154.6161041,209.686142,246.294754,167.0455322,100.1501236,347.7941589,162.0040283,261.9356384,322.2474976,201.0080566,240.7416534,209.5595856,105.1199341,9.413329124,327.9331665,336.7348022,0,308.1424255,128.2852783,106.5163269,117.3957138,89.02242279,0,48.67974854,17.51755905,78.9495697,29.36762238,27.12870026,0,0,12.66806984,24.12599564,258.7582703,262.3609009,5.016421795,21.11252213,29.2406044,33.64352036,2.246469975,29.53853989,0,0,30.76025772,122.8931046,2.001537085,73.97096252,86.42008972,71.05756378,126.3460617,92.04143524,156.793045,32.75232315
0,1,1.045000076,0.980000019,0.98299998,0.996999919,1.011000156,1.049999952,1.063000202,1.030000091,1.025000095,1.00999999,0.99999994,1.015599966,1.011000156,1,0.999999881,1,0.942726135,0.98993504,0.928929269,0.978589594,0.953655005,0.989713669,0.991315603,0.945462644,0.99455595,0.982438684,0.961880922,0.987316132,0.990419447,0.96523726,0.973470151,0.961407065,0.959898293,0.958032608,1.006850243,0.950495183,0.948159695,0.974555492,0.945545912,1.018299937,0.998849332,0.998777211,0.94488579,0.944925904,0.980462074,0.967318058,1.000262499,1.011709809,0.962979615,0.968795717,0.974938035,0.947929859,0.97485888,0.98262614,0.95197171,0.91562885,0.905734122,0.904888809,0.89881444,0.900994718,0.945170581,0.908518314,0.905807912,0.832333148,0.908567429,0.914030492,0.920068622,0.939395249,0,6198.343262,2551.42749,693.0714111,274.4168091,250.4663239,324.2510376,229.7049561,141.6314087,284.2399902,210.9549103,295.1410217,114.4314194,103.3630829,268.9039307,67.50918579,1010.209167,1181.017822,275.8404846,215.0311279,152.4106293,206.7633667,243.6110687,164.4956207,100.0045166,339.3294067,164.4920807,260.4440308,331.2945862,209.2071075,239.8203888,216.3142853,105.7464447,9.163861275,320.4508972,333.0108337,0,309.9171753,127.0548859,104.9799347,115.1749344,85.84531403,0,48.19701767,17.32182693,76.876297,28.67348099,28.05918503,0,0,12.68984795,24.20373726,252.5522919,256.7430115,4.989975929,21.7098732,28.82350922,33.17456436,2.221992016,29.08763885,0,0,31.23267555,122.1932755,2.057729959,76.98821259,86.08937836,73.34794617,127.0990829,89.60220337,153.2155914,32.39011002
0,1,1.044999957,0.980000019,0.982999921,0.996999919,1.011000156,1.049999952,1.063000083,1.030000091,1.025000095,1.00999999,0.99999994,1.015599966,1.011000156,1,0.999999881,1,0.941034853,0.987463951,0.928837121,0.978391349,0.953464985,0.989588082,0.991138518,0.94534874,0.994397581,0.982175946,0.961465597,0.987247825,0.990358353,0.962663352,0.970906019,0.959614813,0.957046807,0.954127669,1.000751853,0.948220909,0.947914064,0.970587432,0.937252283,1.013096809,0.998637199,0.998779118,0.939085484,0.938972175,0.969784558,0.960033953,0.996604383,1.007254243,0.95286715,0.954869151,0.961614311,0.947642803,0.972355247,0.982150912,0.951660037,0.915405631,0.905285776,0.904464245,0.89814496,0.90024662,0.942517877,0.908320248,0.90555042,0.832399487,0.908386886,0.913838565,0.919888973,0.939257622,0,6273.620117,2544.720459,700.2658081,276.6901855,254.5556946,320.6632385,225.5225677,139.8822021,287.2125244,209.14505,294.8678894,117.2129135,103.8137054,273.6018372,68.31996918,1029.680176,1179.29187,272.4766541,211.049057,152.4897461,203.9737396,249.0675049,171.7796783,101.0293579,339.8862,165.8947449,255.5702972,325.3630981,205.432724,241.4266052,211.1806946,107.920372,9.058159828,321.0233459,331.4525452,0,313.6809998,126.7208939,106.0696716,116.1290894,87.2469101,0,47.31946564,17.1078949,77.6802597,28.4274826,28.03321838,0,0,12.91154671,24.49442291,257.4200439,256.3677979,4.929123878,21.30783653,28.83847427,32.72698212,2.271759987,30.3756752,0,0,31.49900436,119.9066544,2.020889044,75.59924316,86.66596222,71.6072464,129.7119751,88.56867218,153.4892883,32.23854446
0,1,1.044999957,0.980000019,0.98299998,0.996999979,1.011000156,1.049999952,1.063000202,1.030000091,1.025000095,1.00999999,0.99999994,1.015599966,1.011000156,1,0.999999821,1,0.940381527,0.986078799,0.928743303,0.978100061,0.953377604,0.989512205,0.991006255,0.94531703,0.993672907,0.981739342,0.961151659,0.986981094,0.990194142,0.961169839,0.969342232,0.958643496,0.955536604,0.952056587,0.997455835,0.947299778,0.947876453,0.968392849,0.93287921,1.006645918,0.998425782,0.998880029,0.936122417,0.935918391,0.963923097,0.956254721,0.992686033,1.002081156,0.947943866,0.94692415,0.954173565,0.947704732,0.970511377,0.982040584,0.951616645,0.915328085,0.905236721,0.904423952,0.898202479,0.900177419,0.941441715,0.908146262,0.905385733,0.831516683,0.90816617,0.913684964,0.919812858,0.939212561,0,6287.855469,2553.319336,711.9491577,278.0612488,258.5672913,317.8082275,234.6956482,142.7324677,288.3118896,210.3417358,294.2714539,117.0211792,102.9351196,277.0476379,66.79153442,1026.876221,1150.26123,273.1711731,211.9685822,154.0041199,204.1643829,249.9400177,169.6240845,102.8764343,346.492157,159.7564545,257.7621155,326.2114563,204.8361511,234.1135712,214.7658386,107.3667679,9.321680069,321.0563354,337.6194458,0,314.3927612,127.1491089,107.8393555,116.7045364,88.62184906,0,49.24417877,17.45648766,77.97759247,28.59013939,27.97651291,0,0,13.07415771,23.94643974,256.7190552,250.0567932,4.941688061,21.40067482,29.12486839,32.75756836,2.279717922,29.99450302,0,0,30.33350372,120.9350128,2.026158094,75.37970734,84.04077911,72.82290649,129.0465851,91.14531708,153.5050507,32.83836746
0,1,1.044999957,0.980000019,0.982999921,0.996999979,1.011000156,1.049999952,1.063000083,1.030000091,1.025000095,1.00999999,1,1.015599966,1.011000156,1,0.999999762,1,0.94189465,0.988016844,0.9286955,0.978295028,0.952816963,0.98927325,0.990855098,0.94501251,0.994443715,0.982227564,0.96154213,0.987354398,0.990428567,0.964136004,0.972158372,0.960406423,0.958194137,0.95546639,1.002534747,0.949347377,0.947805405,0.972035289,0.939645052,1.017356396,0.998726606,0.998761833,0.940936446,0.940858662,0.972408593,0.961986125,0.999187946,1.010632634,0.955481648,0.957428932,0.964467764,0.94768405,0.973947465,0.982394457,0.951689959,0.915370286,0.905433953,0.904590845,0.898400724,0.900631011,0.944015861,0.908219755,0.905503333,0.831862092,0.908211291,0.913587868,0.919157624,0.938847005,0,6222.849121,2511.248047,700.9772949,285.16922,256.9506531,309.0053101,229.0607147,139.2760468,285.0459595,206.8419647,292.2693176,115.4969101,107.0813751,273.432373,67.52316284,1047.492065,1189.871948,270.590332,212.0957336,155.1729736,211.1234436,249.7438202,165.5180359,100.5899048,352.4110413,159.5445862,253.1468201,335.3525391,205.491394,244.6759186,213.4728394,107.5254059,9.220861435,329.5043945,340.2192993,0,311.1424561,125.0540466,106.1774521,119.6878052,88.06776428,0,48.06184769,17.03376198,77.09427643,28.11444473,27.78616905,0,0,12.90355015,24.20874786,261.8730164,258.6678162,4.894999981,21.41351318,29.34591675,33.87413025,2.277929068,29.26843262,0,0,30.29327774,118.7696304,2.082935095,75.62084198,87.83239746,72.38447571,129.2372589,90.15953064,157.5442963,33.09123993
1,1,1.044999957,0.980000019,0.98299998,0.996999979,1.011000276,1.049999952,1.063000083,1.029999971,1.025000095,1.00999999,1,1.015599966,1.011000156,1,0.999999821,1,0.945885599,0.99409622,0.929106474,0.978833497,0.953638017,0.989669442,0.991206229,0.945879519,0.995594382,0.983166635,0.962740898,0.987742782,0.990766346,0.970515013,0.978426933,0.964571834,0.964680672,0.964386702,1.016898155,0.954689384,0.948846281,0.981144726,0.958748341,1.034303784,0.999283791,0.998956919,0.954489231,0.95476228,0.998428345,0.978249133,1.01061368,1.024826884,0.97754848,0.992747128,0.997634351,0.948799551,0.980629921,0.983549178,0.952991426,0.9169662,0.907113016,0.9061566,0.900530696,0.902884722,0.950082064,0.909308612,0.906735599,0.83278054,0.909387887,0.914985836,0.920639157,0.939795375,0,6021.099609,2570.814941,686.0142212,281.5211487,258.8185425,309.4399414,228.8454285,141.1953888,282.5862122,209.0515442,285.196228,116.4211655,103.1601868,280.1954346,67.72530365,1041.40271,1152.139771,277.3094788,216.8096313,151.2069244,206.6790771,244.8405304,169.5134277,102.3753662,344.2852478,160.5097656,257.1799622,333.4239502,200.6073303,238.0284119,214.5104828,105.1826706,9.315924644,320.6070251,337.5974121,0,301.0549927,128.02034,103.9109802,118.1566696,88.70796204,0,48.01667404,17.26850128,76.42901611,28.41477013,27.11372948,0,0,13.22270584,24.28122139,260.3506775,250.4651489,5.016551018,21.88943291,28.59587097,33.16104507,2.233206034,29.97493362,0,0,30.47653961,120.6618652,2.070955992,73.82349396,85.44609833,72.7363205,126.4214783,91.08903503,153.2902374,32.8362236
0,1,1.044999957,0.979999959,0.98299998,0.997000039,1.011000156,1.049999952,1.063000083,1.030000091,1.025000095,1.00999999,1,1.015599966,1.011000156,1,0.999999762,1,0.942409456,0.989089072,0.928676844,0.978106022,0.953034937,0.989380658,0.990954876,0.945111513,0.994205892,0.982174039,0.961683989,0.987339556,0.990431905,0.964365423,0.97249341,0.96084094,0.959018767,0.956868947,1.00499773,0.950023174,0.947947502,0.973028898,0.942954063,1.014676213,0.998734593,0.998827994,0.943194687,0.943179488,0.97715795,0.964336932,0.998111784,1.008824587,0.958877027,0.963993371,0.970648587,0.947828174,0.973813772,0.982480049,0.95186621,0.915593147,0.905624986,0.904769063,0.898688197,0.900849879,0.944535851,0.908280909,0.905587137,0.831618249,0.908262849,0.913687885,0.919161081,0.938968301,0,6199.157715,2535.640137,709.772522,282.0206909,255.8517914,312.5577698,234.9994354,142.7731476,281.5666809,206.4044037,289.994873,112.3644867,103.0965347,274.0891113,66.30900574,1007.174805,1165.694702,276.0909729,210.6094666,154.6677399,204.5367889,244.7870178,170.0056915,104.963974,351.0331421,160.5539398,260.8478394,329.9811401,202.6545105,239.3719177,218.2106018,106.3675385,9.338020325,332.1723633,337.788269,0,309.9578857,126.2687225,107.5096588,118.3663483,87.69113922,0,49.30792236,17.46146393,76.15326691,28.05496407,27.56993866,0,0,12.93454361,23.77344322,251.7937012,253.4118958,4.994506836,21.26345634,29.25037193,32.81731796,2.232717991,30.06198502,0,0,30.48492622,122.3827209,2.049571991,74.57685852,85.9283905,73.99095154,127.8456116,91.30508423,158.8199158,32.85478592
